,round,user_team_id,processed,player_id,player.feed_id,player.first_name,player.last_name,player.team.abbrev,dropped_player_id,dropped_player.feed_id,dropped_player.first_name,dropped_player.last_name,dropped_player.team.abbrev,source
0,2,182,2020-03-24 04:00:02,227,296294,Blake,Acres,FRE,486.0,291533,Tom,McDonald,MEL,Waiver
1,2,9856,2020-03-24 04:00:02,734,293651,Hayden,Crozier,WBD,577.0,293987,Jarrod,Lienert,PTA,Waiver
2,2,182,2020-03-24 04:00:02,593,294318,Ollie,Wines,PTA,802.0,281373,Jack,Redden,WCE,Waiver
3,2,9856,2020-03-24 04:00:02,797,271045,Nic,Naitanui,WCE,356.0,298419,Brandan,Parfitt,GEE,Waiver
4,2,182,2020-03-24 04:00:02,159,992010,Brayden,Maynard,COL,278.0,998129,Will,Brodie,GCS,Waiver
5,2,9856,2020-03-24 04:00:02,481,298264,Ed,Langdon,MEL,51.0,998133,Jarrod,Berry,BRL,Waiver
119,2,5524,2020-04-14 15:50:15,411,998172,Tim,Taranto,GWS,230.0,296371,Brett,Bewley,FRE,Free Agent
173,2,9856,2020-04-19 10:55:07,161,291849,Brody,Mihocek,COL,289.0,993799,Brayden,Fiorini,GCS,Free Agent
174,2,9856,2020-04-19 11:02:38,416,280744,Luke,Breust,HAW,161.0,291849,Brody,Mihocek,COL,Free Agent
83,2,189,2020-05-27 14:45:26,627,993771,Marlion,Pickett,RIC,694.0,240399,Lance,Franklin,SYD,Free Agent
53,2,186,2020-06-03 12:08:18,356,298419,Brandan,Parfitt,GEE,131.0,230202,Kade,Simpson,CAR,Free Agent
84,2,189,2020-06-06 08:48:28,131,230202,Kade,Simpson,CAR,627.0,993771,Marlion,Pickett,RIC,Free Agent
175,2,9856,2020-06-11 10:16:19,817,291594,Harley,Bennell,MEL,116.0,297907,Nic,Newman,CAR,Free Agent
208,2,9867,2020-06-11 10:50:19,161,291849,Brody,Mihocek,COL,468.0,1001438,Bayley,Fritsch,MEL,Free Agent
54,2,186,2020-06-11 18:32:11,8,1000932,Tom,Doedee,ADE,565.0,261911,Brad,Ebert,PTA,Free Agent
0,2,182,2020-06-11 18:47:54,606,270896,Trent,Cotchin,RIC,675.0,280933,Dylan,Roberton,STK,Free Agent
148,2,9806,2020-06-12 10:28:55,572,261892,Hamish,Hartlett,PTA,340.0,298211,Darcy,Fort,GEE,Free Agent
209,2,9867,2020-06-13 15:26:25,403,998205,Harry,Perryman,GWS,406.0,240700,Heath,Shaw,GWS,Free Agent
1,3,186,2020-06-15 20:17:51,574,994295,Dan,Houston,PTA,,,,,,Trade
0,3,186,2020-06-15 20:17:51,522,260227,Shaun,Higgins,NTH,,,,,,Trade
14,3,9867,2020-06-16 04:00:01,54,990609,Charlie,Cameron,BRL,388.0,999309,Jackson,Hately,GWS,Waiver
6,3,9867,2020-06-16 04:00:01,314,1009208,Matthew,Rowell,GCS,403.0,998205,Harry,Perryman,GWS,Waiver
7,3,5524,2020-06-16 04:00:01,565,261911,Brad,Ebert,PTA,665.0,993917,Ben,Long,STK,Waiver
8,3,189,2020-06-16 04:00:01,203,298630,Kyle,Langford,ESS,556.0,992128,Ryan,Burton,PTA,Waiver
